Date,CompanyName,PickupPerDay
2014-07-01,Lyft,0
2014-07-02,Lyft,0
2014-07-03,Lyft,0
2014-07-04,Lyft,0
2014-07-05,Lyft,0
2014-07-06,Lyft,0
2014-07-07,Lyft,0
2014-07-08,Lyft,0
2014-07-09,Lyft,0
2014-07-10,Lyft,0
2014-07-11,Lyft,0
2014-07-12,Lyft,0
2014-07-13,Lyft,0
2014-07-14,Lyft,0
2014-07-15,Lyft,0
2014-07-16,Lyft,0
2014-07-17,Lyft,0
2014-07-18,Lyft,0
2014-07-19,Lyft,0
2014-07-20,Lyft,0
2014-07-21,Lyft,0
2014-07-22,Lyft,0
2014-07-23,Lyft,0
2014-07-24,Lyft,0
2014-07-25,Lyft,40
2014-07-26,Lyft,468
2014-07-27,Lyft,623
2014-07-28,Lyft,418
2014-07-29,Lyft,671
2014-07-30,Lyft,884
2014-07-31,Lyft,1150
2014-08-01,Lyft,1506
2014-08-02,Lyft,2111
2014-08-03,Lyft,2023
2014-08-04,Lyft,1787
2014-08-05,Lyft,2276
2014-08-06,Lyft,2363
2014-08-07,Lyft,4331
2014-08-08,Lyft,6190
2014-08-09,Lyft,7740
2014-08-10,Lyft,7330
2014-08-11,Lyft,4679
2014-08-12,Lyft,5202
2014-08-13,Lyft,5786
2014-08-14,Lyft,5770
2014-08-15,Lyft,5888
2014-08-16,Lyft,6171
2014-08-17,Lyft,5820
2014-08-18,Lyft,4464
2014-08-19,Lyft,5156
2014-08-20,Lyft,5502
2014-08-21,Lyft,5579
2014-08-22,Lyft,6051
2014-08-23,Lyft,5502
2014-08-24,Lyft,4531
2014-08-25,Lyft,2553
2014-08-26,Lyft,2472
2014-08-27,Lyft,2726
2014-08-28,Lyft,4664
2014-08-29,Lyft,6779
2014-08-30,Lyft,7683
2014-08-31,Lyft,6813
2014-09-01,Lyft,5491
2014-09-02,Lyft,4467
2014-09-03,Lyft,4670
2014-09-04,Lyft,4890
2014-09-05,Lyft,5748
2014-09-06,Lyft,7722
2014-09-07,Lyft,6797
2014-09-08,Lyft,3849
2014-09-09,Lyft,3895
2014-09-10,Lyft,4262
2014-09-11,Lyft,4872
2014-09-12,Lyft,4712
2014-09-13,Lyft,5226
2014-09-14,Lyft,4116
2014-09-15,Lyft,2187
2014-09-16,Lyft,2028
2014-09-17,Lyft,2149
2014-09-18,Lyft,2364
2014-09-19,Lyft,2844
2014-09-20,Lyft,4026
2014-09-21,Lyft,3481
2014-09-22,Lyft,1886
2014-09-23,Lyft,2028
2014-09-24,Lyft,2243
2014-09-25,Lyft,2891
2014-09-26,Lyft,3089
2014-09-27,Lyft,4555
2014-09-28,Lyft,4509
2014-09-29,Lyft,2631
2014-09-30,Lyft,2371
2014-07-01,Uber,21228
2014-07-02,Uber,26480
2014-07-03,Uber,21597
2014-07-04,Uber,14148
2014-07-05,Uber,10890
2014-07-06,Uber,11443
2014-07-07,Uber,18280
2014-07-08,Uber,25763
2014-07-09,Uber,27817
2014-07-10,Uber,30541
2014-07-11,Uber,28752
2014-07-12,Uber,25936
2014-07-13,Uber,21082
2014-07-14,Uber,27350
2014-07-15,Uber,33845
2014-07-16,Uber,28607
2014-07-17,Uber,30710
2014-07-18,Uber,29860
2014-07-19,Uber,25726
2014-07-20,Uber,21212
2014-07-21,Uber,23578
2014-07-22,Uber,29029
2014-07-23,Uber,34073
2014-07-24,Uber,32050
2014-07-25,Uber,29975
2014-07-26,Uber,27708
2014-07-27,Uber,22590
2014-07-28,Uber,23981
2014-07-29,Uber,27589
2014-07-30,Uber,30740
2014-07-31,Uber,33541
2014-08-01,Uber,32353
2014-08-02,Uber,28678
2014-08-03,Uber,23146
2014-08-04,Uber,24952
2014-08-05,Uber,28094
2014-08-06,Uber,30495
2014-08-07,Uber,32759
2014-08-08,Uber,30411
2014-08-09,Uber,26286
2014-08-10,Uber,20584
2014-08-11,Uber,22632
2014-08-12,Uber,29646
2014-08-13,Uber,29788
2014-08-14,Uber,30457
2014-08-15,Uber,28974
2014-08-16,Uber,26234
2014-08-17,Uber,21209
2014-08-18,Uber,21956
2014-08-19,Uber,24834
2014-08-20,Uber,27955
2014-08-21,Uber,32304
2014-08-22,Uber,29512
2014-08-23,Uber,27097
2014-08-24,Uber,22036
2014-08-25,Uber,22093
2014-08-26,Uber,24550
2014-08-27,Uber,27018
2014-08-28,Uber,28597
2014-08-29,Uber,27424
2014-08-30,Uber,23930
2014-08-31,Uber,23271
2014-09-01,Uber,19961
2014-09-02,Uber,28831
2014-09-03,Uber,32631
2014-09-04,Uber,38360
2014-09-05,Uber,42319
2014-09-06,Uber,40520
2014-09-07,Uber,30134
2014-09-08,Uber,30360
2014-09-09,Uber,34560
2014-09-10,Uber,35910
2014-09-11,Uber,36439
2014-09-12,Uber,39540
2014-09-13,Uber,43205
2014-09-14,Uber,28122
2014-09-15,Uber,29454
2014-09-16,Uber,36092
2014-09-17,Uber,35531
2014-09-18,Uber,40274
2014-09-19,Uber,41017
2014-09-20,Uber,38864
2014-09-21,Uber,28620
2014-09-22,Uber,28312
2014-09-23,Uber,30316
2014-09-24,Uber,31301
2014-09-25,Uber,38203
2014-09-26,Uber,37504
2014-09-27,Uber,39468
2014-09-28,Uber,29656
2014-09-29,Uber,29201
2014-09-30,Uber,33431
2014-07-01,Green Taxis,38167
2014-07-02,Green Taxis,42472
2014-07-03,Green Taxis,46046
2014-07-04,Green Taxis,41535
2014-07-05,Green Taxis,46873
2014-07-06,Green Taxis,40354
2014-07-07,Green Taxis,34130
2014-07-08,Green Taxis,35756
2014-07-09,Green Taxis,36503
2014-07-10,Green Taxis,39051
2014-07-11,Green Taxis,45383
2014-07-12,Green Taxis,54366
2014-07-13,Green Taxis,46076
2014-07-14,Green Taxis,37143
2014-07-15,Green Taxis,38249
2014-07-16,Green Taxis,36451
2014-07-17,Green Taxis,39713
2014-07-18,Green Taxis,46130
2014-07-19,Green Taxis,52666
2014-07-20,Green Taxis,45355
2014-07-21,Green Taxis,33042
2014-07-22,Green Taxis,35203
2014-07-23,Green Taxis,38839
2014-07-24,Green Taxis,38704
2014-07-25,Green Taxis,44431
2014-07-26,Green Taxis,53004
2014-07-27,Green Taxis,46195
2014-07-28,Green Taxis,29186
2014-07-29,Green Taxis,32944
2014-07-30,Green Taxis,36869
2014-07-31,Green Taxis,41471
2014-08-01,Green Taxis,49955
2014-08-02,Green Taxis,56609
2014-08-03,Green Taxis,47424
2014-08-04,Green Taxis,34820
2014-08-05,Green Taxis,35995
2014-08-06,Green Taxis,38132
2014-08-07,Green Taxis,41111
2014-08-08,Green Taxis,46974
2014-08-09,Green Taxis,55931
2014-08-10,Green Taxis,46745
2014-08-11,Green Taxis,33791
2014-08-12,Green Taxis,36164
2014-08-13,Green Taxis,38111
2014-08-14,Green Taxis,39827
2014-08-15,Green Taxis,47624
2014-08-16,Green Taxis,56626
2014-08-17,Green Taxis,47183
2014-08-18,Green Taxis,34276
2014-08-19,Green Taxis,33716
2014-08-20,Green Taxis,36729
2014-08-21,Green Taxis,41126
2014-08-22,Green Taxis,47136
2014-08-23,Green Taxis,53606
2014-08-24,Green Taxis,46004
2014-08-25,Green Taxis,34097
2014-08-26,Green Taxis,34199
2014-08-27,Green Taxis,37884
2014-08-28,Green Taxis,40579
2014-08-29,Green Taxis,48602
2014-08-30,Green Taxis,53824
2014-08-31,Green Taxis,48338
2014-09-01,Green Taxis,35898
2014-09-02,Green Taxis,36957
2014-09-03,Green Taxis,39453
2014-09-04,Green Taxis,43364
2014-09-05,Green Taxis,50243
2014-09-06,Green Taxis,59470
2014-09-07,Green Taxis,48610
2014-09-08,Green Taxis,37010
2014-09-09,Green Taxis,37694
2014-09-10,Green Taxis,39746
2014-09-11,Green Taxis,42838
2014-09-12,Green Taxis,51430
2014-09-13,Green Taxis,64184
2014-09-14,Green Taxis,51675
2014-09-15,Green Taxis,37400
2014-09-16,Green Taxis,39642
2014-09-17,Green Taxis,39566
2014-09-18,Green Taxis,43899
2014-09-19,Green Taxis,52115
2014-09-20,Green Taxis,60211
2014-09-21,Green Taxis,50535
2014-09-22,Green Taxis,37103
2014-09-23,Green Taxis,38492
2014-09-24,Green Taxis,40373
2014-09-25,Green Taxis,43249
2014-09-26,Green Taxis,49660
