class,cap-shape,cap-surface,cap-color,bruise,ordor,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,ring-type,population,habitat
p,x,s,n,t,p,c,n,k,e,e,p,s,u
e,x,s,y,t,a,c,b,k,e,c,p,n,g
e,b,s,w,t,l,c,b,n,e,c,p,n,m
p,x,y,w,t,p,c,n,n,e,e,p,s,u
e,x,s,g,f,n,w,b,k,t,e,e,a,g
e,x,y,y,t,a,c,b,n,e,c,p,n,g
e,b,s,w,t,a,c,b,g,e,c,p,n,m
e,b,y,w,t,l,c,b,n,e,c,p,s,m
p,x,y,w,t,p,c,n,p,e,e,p,v,g
e,b,s,y,t,a,c,b,g,e,c,p,s,m
e,x,y,y,t,l,c,b,g,e,c,p,n,g
e,x,y,y,t,a,c,b,n,e,c,p,s,m
e,b,s,y,t,a,c,b,w,e,c,p,s,g
p,x,y,w,t,p,c,n,k,e,e,p,v,u
e,x,f,n,f,n,w,b,n,t,e,e,a,g
e,s,f,g,f,n,c,n,k,e,e,p,y,u
e,f,f,w,f,n,w,b,k,t,e,e,a,g
p,x,s,n,t,p,c,n,n,e,e,p,s,g
p,x,y,w,t,p,c,n,n,e,e,p,s,u
p,x,s,n,t,p,c,n,k,e,e,p,s,u
e,b,s,y,t,a,c,b,k,e,c,p,s,m
p,x,y,n,t,p,c,n,n,e,e,p,v,g
e,b,y,y,t,l,c,b,k,e,c,p,s,m
e,b,y,w,t,a,c,b,w,e,c,p,n,m
e,b,s,w,t,l,c,b,g,e,c,p,s,m
p,f,s,w,t,p,c,n,n,e,e,p,v,g
e,x,y,y,t,a,c,b,n,e,c,p,n,m
e,x,y,w,t,l,c,b,w,e,c,p,n,m
e,f,f,n,f,n,c,n,k,e,e,p,y,u
e,x,s,y,t,a,w,n,n,t,b,p,v,d
e,b,s,y,t,l,c,b,g,e,c,p,n,m
p,x,y,w,t,p,c,n,k,e,e,p,s,u
e,x,y,y,t,l,c,b,n,e,c,p,n,m
e,x,y,n,t,l,c,b,p,e,r,p,y,p
e,b,y,y,t,l,c,b,n,e,c,p,s,m
e,x,f,y,t,l,w,n,w,t,b,p,v,d
e,s,f,g,f,n,c,n,k,e,e,p,v,u
p,x,y,n,t,p,c,n,w,e,e,p,s,u
e,x,f,y,t,a,w,n,p,t,b,p,v,d
e,b,s,y,t,l,c,b,k,e,c,p,s,m
e,b,y,y,t,a,c,b,n,e,c,p,s,g
e,x,y,y,t,l,c,b,n,e,r,p,y,p
e,x,f,n,f,n,c,n,g,e,e,p,y,u
p,x,y,w,t,p,c,n,p,e,e,p,v,g
e,x,s,y,t,a,c,b,w,e,c,p,n,m
e,x,y,w,t,a,c,b,n,e,c,p,n,g
e,x,y,y,t,l,c,b,k,e,c,p,s,m
e,x,s,w,t,l,c,b,w,e,c,p,n,m
e,x,y,y,t,l,c,b,n,e,r,p,s,p
e,f,y,y,t,l,c,b,w,e,r,p,s,p
e,x,y,n,t,a,c,b,w,e,r,p,s,g
e,x,s,w,t,l,c,b,k,e,c,p,s,g
e,b,s,w,t,l,c,b,k,e,c,p,n,m
p,x,y,n,t,p,c,n,k,e,e,p,v,u
p,x,s,w,t,p,c,n,k,e,e,p,v,u
e,b,y,y,t,a,c,b,w,e,c,p,s,m
e,f,f,g,f,n,w,b,n,t,e,e,a,g
e,b,s,w,t,a,c,b,w,e,c,p,n,g
e,x,s,y,t,l,c,b,k,e,c,p,n,g
e,x,y,n,t,a,c,b,p,e,r,p,y,p
e,s,f,g,f,n,c,n,k,e,e,p,v,u
e,b,y,y,t,a,c,b,k,e,c,p,s,m
e,b,s,y,t,l,c,b,g,e,c,p,s,m
e,b,y,y,t,l,c,b,g,e,c,p,n,m
e,b,y,w,t,l,c,b,n,e,c,p,s,g
e,f,s,n,f,n,w,b,k,t,e,e,a,g
e,x,s,w,t,l,c,b,n,e,c,p,s,g
e,f,y,y,t,a,c,b,w,e,r,p,s,g
e,x,y,y,t,a,c,b,w,e,c,p,n,g
e,x,f,g,f,n,c,n,p,e,e,p,v,u
e,f,f,y,t,l,w,n,p,t,b,p,v,d
e,b,y,w,t,l,c,b,g,e,c,p,s,m
e,f,f,y,t,l,w,n,w,t,b,p,v,d
e,x,y,n,t,a,c,b,p,e,r,p,s,p
e,b,s,y,t,a,c,b,k,e,c,p,s,g
e,f,s,y,t,l,w,n,p,t,b,p,v,d
e,x,s,w,t,l,w,n,n,t,b,p,v,d
e,f,y,n,t,l,c,b,p,e,r,p,y,p
p,x,y,n,t,p,c,n,w,e,e,p,v,u
e,f,y,n,t,a,c,b,n,e,r,p,y,g
e,x,s,n,f,n,w,b,k,t,e,e,s,g
