index,Date,CompanyName,PickupPerDay
1,2014-07-01,Lyft,0
1,2014-07-02,Lyft,0
1,2014-07-03,Lyft,0
1,2014-07-04,Lyft,0
1,2014-07-05,Lyft,0
1,2014-07-06,Lyft,0
1,2014-07-07,Lyft,0
1,2014-07-08,Lyft,0
1,2014-07-09,Lyft,0
1,2014-07-10,Lyft,0
1,2014-07-11,Lyft,0
1,2014-07-12,Lyft,0
1,2014-07-13,Lyft,0
1,2014-07-14,Lyft,0
1,2014-07-15,Lyft,0
1,2014-07-16,Lyft,0
1,2014-07-17,Lyft,0
1,2014-07-18,Lyft,0
1,2014-07-19,Lyft,0
1,2014-07-20,Lyft,0
1,2014-07-21,Lyft,0
1,2014-07-22,Lyft,0
1,2014-07-23,Lyft,0
1,2014-07-24,Lyft,0
1,2014-07-25,Lyft,40
1,2014-07-26,Lyft,468
1,2014-07-27,Lyft,623
1,2014-07-28,Lyft,418
1,2014-07-29,Lyft,671
1,2014-07-30,Lyft,884
1,2014-07-31,Lyft,1150
1,2014-08-01,Lyft,1506
1,2014-08-02,Lyft,2111
1,2014-08-03,Lyft,2023
1,2014-08-04,Lyft,1787
1,2014-08-05,Lyft,2276
1,2014-08-06,Lyft,2363
1,2014-08-07,Lyft,4331
1,2014-08-08,Lyft,6190
1,2014-08-09,Lyft,7740
1,2014-08-10,Lyft,7330
1,2014-08-11,Lyft,4679
1,2014-08-12,Lyft,5202
1,2014-08-13,Lyft,5786
1,2014-08-14,Lyft,5770
1,2014-08-15,Lyft,5888
1,2014-08-16,Lyft,6171
1,2014-08-17,Lyft,5820
1,2014-08-18,Lyft,4464
1,2014-08-19,Lyft,5156
1,2014-08-20,Lyft,5502
1,2014-08-21,Lyft,5579
1,2014-08-22,Lyft,6051
1,2014-08-23,Lyft,5502
1,2014-08-24,Lyft,4531
1,2014-08-25,Lyft,2553
1,2014-08-26,Lyft,2472
1,2014-08-27,Lyft,2726
1,2014-08-28,Lyft,4664
1,2014-08-29,Lyft,6779
1,2014-08-30,Lyft,7683
1,2014-08-31,Lyft,6813
1,2014-09-01,Lyft,5491
1,2014-09-02,Lyft,4467
1,2014-09-03,Lyft,4670
1,2014-09-04,Lyft,4890
1,2014-09-05,Lyft,5748
1,2014-09-06,Lyft,7722
1,2014-09-07,Lyft,6797
1,2014-09-08,Lyft,3849
1,2014-09-09,Lyft,3895
1,2014-09-10,Lyft,4262
1,2014-09-11,Lyft,4872
1,2014-09-12,Lyft,4712
1,2014-09-13,Lyft,5226
1,2014-09-14,Lyft,4116
1,2014-09-15,Lyft,2187
1,2014-09-16,Lyft,2028
