LocationID,Borough,Zone
3,Bronx,Allerton/Pelham Gardens
18,Bronx,Bedford Park
20,Bronx,Belmont
31,Bronx,Bronx Park
32,Bronx,Bronxdale
46,Bronx,City Island
47,Bronx,Claremont/Bathgate
51,Bronx,Co-Op City
58,Bronx,Country Club
59,Bronx,Crotona Park
60,Bronx,Crotona Park East
69,Bronx,East Concourse/Concourse Village
78,Bronx,East Tremont
81,Bronx,Eastchester
94,Bronx,Fordham South
119,Bronx,Highbridge
126,Bronx,Hunts Point
136,Bronx,Kingsbridge Heights
147,Bronx,Longwood
159,Bronx,Melrose South
167,Bronx,Morrisania/Melrose
168,Bronx,Mott Haven/Port Morris
169,Bronx,Mount Hope
174,Bronx,Norwood
182,Bronx,Parkchester
183,Bronx,Pelham Bay
184,Bronx,Pelham Bay Park
185,Bronx,Pelham Parkway
199,Bronx,Rikers Island
200,Bronx,Riverdale/North Riverdale/Fieldston
208,Bronx,Schuylerville/Edgewater Park
212,Bronx,Soundview/Bruckner
213,Bronx,Soundview/Castle Hill
220,Bronx,Spuyten Duyvil/Kingsbridge
235,Bronx,University Heights/Morris Heights
240,Bronx,Van Cortlandt Park
241,Bronx,Van Cortlandt Village
242,Bronx,Van Nest/Morris Park
247,Bronx,West Concourse
248,Bronx,West Farms/Bronx River
250,Bronx,Westchester Village/Unionport
254,Bronx,Williamsbridge/Olinville
259,Bronx,Woodlawn/Wakefield
11,Brooklyn,Bath Beach
14,Brooklyn,Bay Ridge
17,Brooklyn,Bedford
21,Brooklyn,Bensonhurst East
22,Brooklyn,Bensonhurst West
25,Brooklyn,Boerum Hill
26,Brooklyn,Borough Park
29,Brooklyn,Brighton Beach
33,Brooklyn,Brooklyn Heights
34,Brooklyn,Brooklyn Navy Yard
35,Brooklyn,Brownsville
36,Brooklyn,Bushwick North
37,Brooklyn,Bushwick South
39,Brooklyn,Canarsie
40,Brooklyn,Carroll Gardens
49,Brooklyn,Clinton Hill
52,Brooklyn,Cobble Hill
54,Brooklyn,Columbia Street
55,Brooklyn,Coney Island
61,Brooklyn,Crown Heights North
62,Brooklyn,Crown Heights South
63,Brooklyn,Cypress Hills
65,Brooklyn,Downtown Brooklyn/MetroTech
66,Brooklyn,DUMBO/Vinegar Hill
67,Brooklyn,Dyker Heights
71,Brooklyn,East Flatbush/Farragut
72,Brooklyn,East Flatbush/Remsen Village
76,Brooklyn,East New York
77,Brooklyn,East New York/Pennsylvania Avenue
80,Brooklyn,East Williamsburg
85,Brooklyn,Erasmus
89,Brooklyn,Flatbush/Ditmas Park
91,Brooklyn,Flatlands
97,Brooklyn,Fort Greene
106,Brooklyn,Gowanus
108,Brooklyn,Gravesend
111,Brooklyn,Green-Wood Cemetery
112,Brooklyn,Greenpoint
123,Brooklyn,Homecrest
133,Brooklyn,Kensington
149,Brooklyn,Madison
150,Brooklyn,Manhattan Beach
154,Brooklyn,Marine Park/Floyd Bennett Field
155,Brooklyn,Marine Park/Mill Basin
165,Brooklyn,Midwood
177,Brooklyn,Ocean Hill
178,Brooklyn,Ocean Parkway South
181,Brooklyn,Park Slope
188,Brooklyn,Prospect-Lefferts Gardens
189,Brooklyn,Prospect Heights
190,Brooklyn,Prospect Park
195,Brooklyn,Red Hook
210,Brooklyn,Sheepshead Bay
217,Brooklyn,South Williamsburg
222,Brooklyn,Starrett City
225,Brooklyn,Stuyvesant Heights
227,Brooklyn,Sunset Park East
228,Brooklyn,Sunset Park West
255,Brooklyn,Williamsburg (North Side)
256,Brooklyn,Williamsburg (South Side)
257,Brooklyn,Windsor Terrace
1,EWR,Newark Airport
4,Manhattan,Alphabet City
12,Manhattan,Battery Park
13,Manhattan,Battery Park City
24,Manhattan,Bloomingdale
41,Manhattan,Central Harlem
42,Manhattan,Central Harlem North
43,Manhattan,Central Park
45,Manhattan,Chinatown
48,Manhattan,Clinton East
50,Manhattan,Clinton West
68,Manhattan,East Chelsea
74,Manhattan,East Harlem North
75,Manhattan,East Harlem South
79,Manhattan,East Village
87,Manhattan,Financial District North
88,Manhattan,Financial District South
90,Manhattan,Flatiron
100,Manhattan,Garment District
103,Manhattan,Governor's Island/Ellis Island/Liberty Island
104,Manhattan,Governor's Island/Ellis Island/Liberty Island
105,Manhattan,Governor's Island/Ellis Island/Liberty Island
107,Manhattan,Gramercy
113,Manhattan,Greenwich Village North
114,Manhattan,Greenwich Village South
116,Manhattan,Hamilton Heights
120,Manhattan,Highbridge Park
125,Manhattan,Hudson Sq
127,Manhattan,Inwood
128,Manhattan,Inwood Hill Park
137,Manhattan,Kips Bay
140,Manhattan,Lenox Hill East
141,Manhattan,Lenox Hill West
142,Manhattan,Lincoln Square East
143,Manhattan,Lincoln Square West
144,Manhattan,Little Italy/NoLiTa
148,Manhattan,Lower East Side
151,Manhattan,Manhattan Valley
152,Manhattan,Manhattanville
153,Manhattan,Marble Hill
158,Manhattan,Meatpacking/West Village West
161,Manhattan,Midtown Center
162,Manhattan,Midtown East
163,Manhattan,Midtown North
164,Manhattan,Midtown South
166,Manhattan,Morningside Heights
170,Manhattan,Murray Hill
186,Manhattan,Penn Station/Madison Sq West
194,Manhattan,Randalls Island
202,Manhattan,Roosevelt Island
209,Manhattan,Seaport
211,Manhattan,SoHo
224,Manhattan,Stuy Town/Peter Cooper Village
229,Manhattan,Sutton Place/Turtle Bay North
230,Manhattan,Times Sq/Theatre District
231,Manhattan,TriBeCa/Civic Center
232,Manhattan,Two Bridges/Seward Park
233,Manhattan,UN/Turtle Bay South
234,Manhattan,Union Sq
236,Manhattan,Upper East Side North
237,Manhattan,Upper East Side South
238,Manhattan,Upper West Side North
239,Manhattan,Upper West Side South
243,Manhattan,Washington Heights North
244,Manhattan,Washington Heights South
246,Manhattan,West Chelsea/Hudson Yards
249,Manhattan,West Village
261,Manhattan,World Trade Center
262,Manhattan,Yorkville East
263,Manhattan,Yorkville West
2,Queens,Jamaica Bay
7,Queens,Astoria
8,Queens,Astoria Park
9,Queens,Auburndale
10,Queens,Baisley Park
15,Queens,Bay Terrace/Fort Totten
16,Queens,Bayside
19,Queens,Bellerose
27,Queens,Breezy Point/Fort Tilden/Riis Beach
28,Queens,Briarwood/Jamaica Hills
30,Queens,Broad Channel
38,Queens,Cambria Heights
53,Queens,College Point
56,Queens,Corona
57,Queens,Corona
64,Queens,Douglaston
70,Queens,East Elmhurst
73,Queens,East Flushing
82,Queens,Elmhurst
83,Queens,Elmhurst/Maspeth
86,Queens,Far Rockaway
92,Queens,Flushing
93,Queens,Flushing Meadows-Corona Park
95,Queens,Forest Hills
96,Queens,Forest Park/Highland Park
98,Queens,Fresh Meadows
101,Queens,Glen Oaks
102,Queens,Glendale
117,Queens,Hammels/Arverne
121,Queens,Hillcrest/Pomonok
122,Queens,Hollis
124,Queens,Howard Beach
129,Queens,Jackson Heights
130,Queens,Jamaica
131,Queens,Jamaica Estates
132,Queens,JFK Airport
134,Queens,Kew Gardens
135,Queens,Kew Gardens Hills
138,Queens,LaGuardia Airport
139,Queens,Laurelton
145,Queens,Long Island City/Hunters Point
146,Queens,Long Island City/Queens Plaza
157,Queens,Maspeth
160,Queens,Middle Village
171,Queens,Murray Hill-Queens
173,Queens,North Corona
175,Queens,Oakland Gardens
179,Queens,Old Astoria
180,Queens,Ozone Park
