Weekday,Hour,Uber
1,0,1458
1,1,1078
1,2,757
1,3,513
1,4,308
1,5,308
1,6,322
1,7,434
1,8,596
1,9,786
1,10,956
1,11,1109
1,12,1128
1,13,1254
1,14,1328
1,15,1431
1,16,1526
1,17,1504
1,18,1378
1,19,1256
1,20,1226
1,21,1120
1,22,942
1,23,599
2,0,326
2,1,192
2,2,152
2,3,307
2,4,456
2,5,704
2,6,1032
2,7,1357
2,8,1319
2,9,1033
2,10,957
2,11,965
2,12,961
2,13,1089
2,14,1253
2,15,1435
2,16,1675
2,17,1821
2,18,1715
2,19,1606
2,20,1554
2,21,1338
2,22,963
2,23,568
3,0,288
3,1,164
3,2,120
3,3,209
3,4,351
3,5,657
3,6,1156
3,7,1559
3,8,1528
3,9,1167
3,10,1093
3,11,1079
3,12,1081
3,13,1307
3,14,1530
3,15,1732
3,16,1982
3,17,2313
3,18,2227
3,19,2025
3,20,1961
3,21,1711
3,22,1235
3,23,656
4,0,378
4,1,217
4,2,157
4,3,235
4,4,363
4,5,657
4,6,1174
4,7,1566
4,8,1519
4,9,1181
4,10,1119
4,11,1128
4,12,1142
4,13,1286
4,14,1493
4,15,1811
4,16,2120
4,17,2345
4,18,2299
4,19,2103
4,20,2103
4,21,1948
4,22,1466
4,23,834
5,0,439
5,1,250
5,2,178
5,3,267
5,4,403
5,5,629
5,6,1112
5,7,1553
5,8,1523
5,9,1250
5,10,1166
5,11,1196
5,12,1197
5,13,1349
5,14,1590
5,15,1883
5,16,2131
5,17,2337
5,18,2423
5,19,2332
5,20,2216
5,21,2164
5,22,1887
5,23,1281
6,0,655
6,1,395
6,2,261
6,3,326
6,4,411
6,5,631
6,6,983
6,7,1333
6,8,1355
6,9,1135
6,10,1099
6,11,1102
6,12,1120
6,13,1325
6,14,1545
6,15,1810
6,16,1972
6,17,2114
6,18,2191
6,19,2072
6,20,1874
6,21,2052
6,22,2107
6,23,1808
7,0,1321
7,1,931
7,2,626
7,3,464
7,4,334
7,5,342
7,6,415
7,7,533
7,8,692
7,9,837
7,10,980
7,11,1085
7,12,1149
7,13,1261
7,14,1500
7,15,1724
7,16,1835
7,17,1907
7,18,2034
7,19,1912
7,20,1802
7,21,1958
7,22,2078
7,23,1860
